timestamp_utc,session,member,video_id,views,likes
2026-05-30T14:10:46.329858+00:00,0530 음악중심,안신,2wwWOyJxHGA,2163,639
2026-05-30T14:10:46.329858+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4128,1211
2026-05-30T14:10:46.329858+00:00,0530 음악중심,아르노,ii9f6wQHmCU,2880,799
2026-05-30T14:10:46.329858+00:00,0530 음악중심,리오,hFzZt3MeAtY,3508,1089
2026-05-30T14:10:46.329858+00:00,0530 음악중심,상현,Ro_NFYTxfxY,1913,294
2026-05-30T14:10:46.329858+00:00,0530 음악중심,준서,lAsf2DeuEgk,1526,474
2026-05-30T14:20:48.474740+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,4921,1167
2026-05-30T14:20:48.474740+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5707,1560
2026-05-30T14:20:48.474740+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2799,672
2026-05-30T14:20:48.474740+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2529,525
2026-05-30T14:20:48.474740+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4159,1111
2026-05-30T14:20:48.474740+00:00,0530 음악중심,안신,2wwWOyJxHGA,2192,650
2026-05-30T14:20:48.474740+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4233,1225
2026-05-30T14:20:48.474740+00:00,0530 음악중심,아르노,ii9f6wQHmCU,2959,816
2026-05-30T14:20:48.474740+00:00,0530 음악중심,리오,hFzZt3MeAtY,3605,1099
2026-05-30T14:20:48.474740+00:00,0530 음악중심,상현,Ro_NFYTxfxY,1958,303
2026-05-30T14:20:48.474740+00:00,0530 음악중심,준서,lAsf2DeuEgk,1567,482
2026-05-30T14:25:24.826444+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,4960,1171
2026-05-30T14:25:24.826444+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5769,1563
2026-05-30T14:25:24.826444+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2799,673
2026-05-30T14:25:24.826444+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2541,526
2026-05-30T14:25:24.826444+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4203,1120
2026-05-30T14:25:24.826444+00:00,0530 음악중심,안신,2wwWOyJxHGA,2227,650
2026-05-30T14:25:24.826444+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4279,1233
2026-05-30T14:25:24.826444+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3001,820
2026-05-30T14:25:24.826444+00:00,0530 음악중심,리오,hFzZt3MeAtY,3647,1106
2026-05-30T14:25:24.826444+00:00,0530 음악중심,상현,Ro_NFYTxfxY,1984,304
2026-05-30T14:25:24.826444+00:00,0530 음악중심,준서,lAsf2DeuEgk,1592,485
2026-05-30T14:27:53.644543+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,4978,1174
2026-05-30T14:27:53.644543+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5769,1565
2026-05-30T14:27:53.644543+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2817,674
2026-05-30T14:27:53.644543+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2562,526
2026-05-30T14:27:53.644543+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4203,1123
2026-05-30T14:27:53.644543+00:00,0530 음악중심,안신,2wwWOyJxHGA,2227,651
2026-05-30T14:27:53.644543+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4279,1234
2026-05-30T14:27:53.644543+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3001,824
2026-05-30T14:27:53.644543+00:00,0530 음악중심,리오,hFzZt3MeAtY,3666,1113
2026-05-30T14:27:53.644543+00:00,0530 음악중심,상현,Ro_NFYTxfxY,1984,305
2026-05-30T14:27:53.644543+00:00,0530 음악중심,준서,lAsf2DeuEgk,1593,486
2026-05-30T14:30:52.437106+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,4978,1174
2026-05-30T14:30:52.437106+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5790,1566
2026-05-30T14:30:52.437106+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2823,675
2026-05-30T14:30:52.437106+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2568,528
2026-05-30T14:30:52.437106+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4227,1128
2026-05-30T14:30:52.437106+00:00,0530 음악중심,안신,2wwWOyJxHGA,2231,655
2026-05-30T14:30:52.437106+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4317,1236
2026-05-30T14:30:52.437106+00:00,0530 음악중심,아르노,ii9f6wQHmCU,3009,831
2026-05-30T14:30:52.437106+00:00,0530 음악중심,리오,hFzZt3MeAtY,3670,1116
2026-05-30T14:30:52.437106+00:00,0530 음악중심,상현,Ro_NFYTxfxY,1992,312
2026-05-30T14:30:52.437106+00:00,0530 음악중심,준서,lAsf2DeuEgk,1609,492
2026-05-30T14:35:48.338129+00:00,0530 MCOUNTDOWN 가로 직캠,상원,zd5kcD00tZs,5004,1180
2026-05-30T14:35:48.338129+00:00,0530 MCOUNTDOWN 가로 직캠,씬롱,HPyemQX4Hhs,5826,1568
2026-05-30T14:35:48.338129+00:00,0530 MCOUNTDOWN 가로 직캠,아르노,SNz-1DBF3x0,2850,677
2026-05-30T14:35:48.338129+00:00,0530 MCOUNTDOWN 가로 직캠,준서,IDUj4iY5Kfk,2588,531
2026-05-30T14:35:48.338129+00:00,0530 음악중심,상원,QvY2B4BWYSQ,4279,1132
2026-05-30T14:35:48.338129+00:00,0530 음악중심,안신,2wwWOyJxHGA,2277,658
2026-05-30T14:35:48.338129+00:00,0530 음악중심,씬롱,zjZrlOsdRlk,4356,1242
